Description,Amount,Type,Account
Stripe Transfer #8559,49.65,Credit,Accounts Receivable
Zelle from John Doe In-store,113.12,Credit,Accounts Receivable
Square Deposit - CA,166.32,Credit,Accounts Receivable
Zelle from John Doe,53.21,Credit,Accounts Receivable
Client Check #4088 #3828,23.31,Credit,Accounts Receivable
Stripe Transfer (8/13/2025),22.55,Credit,Accounts Receivable
Zelle from John Doe (2/27/2025),211.62,Credit,Accounts Receivable
PayPal Business In-store,494.23,Credit,Accounts Receivable
Client Check #1655 - CA,107.02,Credit,Accounts Receivable
Cash App Transfer - CA,193.62,Credit,Accounts Receivable
Square Deposit,335.16,Credit,Accounts Receivable
Square Deposit #3781,37.77,Credit,Accounts Receivable
Uber Payout (3/16/2025),49.66,Credit,Accounts Receivable
Square Deposit #5712,254.5,Credit,Accounts Receivable
DoorDash Driver Pay Online,149.42,Credit,Accounts Receivable
PayPal Business,430.92,Credit,Accounts Receivable
Check #7700,424.37,Credit,Accounts Receivable
Cash App Transfer,195.18,Credit,Accounts Receivable
Stripe Transfer #3095,343.88,Credit,Accounts Receivable
Uber Payout #4263,286.88,Credit,Accounts Receivable
Zelle from John Doe Online,477.35,Credit,Accounts Receivable
Check #9468 (1/9/2025),204.02,Credit,Accounts Receivable
Uber Payout,377.79,Credit,Accounts Receivable
Cash App Transfer In-store,489.1,Credit,Accounts Receivable
Square Deposit,232.06,Credit,Accounts Receivable
Received Check #5921 #9795,476.52,Credit,Accounts Receivable
Cash App Transfer,55.58,Credit,Accounts Receivable
Zelle from John Doe In-store,433.91,Credit,Accounts Receivable
PayPal Business In-store,57.97,Credit,Accounts Receivable
Client Check #1316 - TX,337.94,Credit,Accounts Receivable
Venmo Payment #4362,458.74,Credit,Accounts Receivable
Client Check #3432 Online,424.38,Credit,Accounts Receivable
Square Deposit (11/12/2025),286.13,Credit,Accounts Receivable
Uber Payout #6139,397.1,Credit,Accounts Receivable
Square Deposit - NY,29.26,Credit,Accounts Receivable
Cash App Transfer - NY,100.02,Credit,Accounts Receivable
Stripe Transfer - CA,296.57,Credit,Accounts Receivable
DoorDash Driver Pay,497.67,Credit,Accounts Receivable
Zelle from John Doe #6308,133.13,Credit,Accounts Receivable
Venmo Payment #3131,485.4,Credit,Accounts Receivable
Check #1781 #1258,320.02,Credit,Accounts Receivable
Zelle from John Doe (5/14/2025),481.4,Credit,Accounts Receivable
Client Check #5796 #2642,285.65,Credit,Accounts Receivable
Venmo Payment Online,281.93,Credit,Accounts Receivable
Uber Payout In-store,475.92,Credit,Accounts Receivable
Cash App Transfer - NY,234.54,Credit,Accounts Receivable
Venmo Payment (8/15/2025),199.68,Credit,Accounts Receivable
